ID,Name,Title,Place publication,Publisher,Date of publication
XO00001,"Orwell, George",England your England,London,Penguin,2017
XO00001,"Orwell, George",England your England,London,Penguin,2017
XO00002,"Orwell, George",The road to Wigan Pier,London,Penguin,2014
XO00002,"Orwell, George",The road to Wigan Pier,London,Penguin,2014
XO00003,"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018
XO00004,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
XO00004,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
XO00004,"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
XO00005,"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021
XO00006,"Orwell, George",The road to Wigan Pier,London,Arcturus,2021
XO00007,"Orwell, George",The road to Wigan Pier,London,Macmillan,2021
XO00008,"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021
XO00009,"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020
XO00010,"Orwell, George",Fascism and democracy,London,Penguin,2020
XO00010,"Orwell, George",Fascism and democracy,London,Penguin,2020
XO00011,"Orwell, George",Notes on nationalism,London,Penguin,2018
XO00012,"Orwell, George",Orwell on freedom,London,Harvill Secker,2018
XO00013,"Orwell, George",Orwell on freedom,London,Vintage Digital,2018
XO00014,"Orwell, George",The lion and the unicorn,London,Penguin,2018
XO00015,"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018
XO00016,"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012
XO00017,"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020
XO00018,"Orwell, George",Down and out in Paris and London,London,Harper,2021
XO00018,"Orwell, George",Down and out in Paris and London,London,Harper,2021
XO00018,"Orwell, George",Down and out in Paris and London,London,Harper,2021
XO00019,"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021
XO00020,"Orwell, George",Down and out in Paris and London,London,Arcturus,2021
XO00021,"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021
XO00022,"Orwell, George",Down and out in Paris and London,London,Macmillan,2021
XO00023,"Orwell, George",Politics and the English language,London,Renard Press,2021
XO00023,"Orwell, George",Politics and the English language,London,Renard Press,2021
XO00024,"Orwell, George",Animal farm,Oxford,Oxford University Press,2021
XO00024,"Orwell, George",Animal farm,Oxford,Oxford University Press,2021
XO00025,"Orwell, George",Nineteen eighty-four,London,Penguin,2020
XO00026,"Orwell, George",Animal farm,London,Penguin,2020
XO00027,"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019
XO00027,"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019
XO00028,"Orwell, George",Animal farm : the graphic novel,London,Penguin,2020
XO00029,"Wilson, Se??n Michael","The illustrated Orwell - Such, such were the joys",Oxford,New Internationalist,2021
XO00030,"Orwell, George",Nineteen eighty-four,London,Penguin,2021
XO00030,"Orwell, George",Nineteen eighty-four,London,Penguin,2021
XO00031,"Orwell, George",The art of Donald McGill,,Greaves & Thomas,2009
XO00032,"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2015
XO00033,"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2016
XO00034,"Gupta, Ashis",Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel,Calgary,Bayeux Arts,2018
XO00035,"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington",,2001
